"X1","X2"
1512338723000,12637158
1512339008000,12526982
1512339294000,12419277
1512339580000,12285142
1512339866000,12210947
1512340151000,12118319
1512340437000,12014838
1512340723000,11915332
1512341009000,11819013
1512341295000,11724960
1512341580000,11630687
1512341866000,11533575
1512342152000,11421725
1512342438000,11304665
1512342723000,11207417
1512343009000,11122648
1512343295000,11043779
1512343581000,10968215
1512343867000,10894794
1512344152000,10823535
1512344438000,10757559
1512344724000,10695732
1512345010000,10636469
1512345295000,10581659
1512345581000,10527599
1512345867000,10464219
1512346153000,10411160
1512346439000,10367501
1512346724000,10328506
1512347010000,10292562
1512347296000,10259676
1512347582000,10228740
1512347868000,10202626
1512348153000,10180117
1512348439000,10159282
1512348725000,10141600
1512349011000,10125952
1512349296000,10109551
1512349582000,10089684
1512349868000,10076268
1512350154000,10064508
1512350440000,10055787
1512350725000,10045359
1512351011000,10036404
1512351297000,10025382
1512351583000,10014661
1512351868000,10006741
1512352154000,10001558
1512352440000,9997624
1512352726000,9992133
1512353012000,9984257
1512353297000,9977971
1512353583000,9975365
1512353869000,9974300
1512354155000,9973070
1512354440000,9970964
1512354726000,9966898
1512355012000,9962915
1512355298000,9960879
1512355584000,9956216
1512355869000,9952719
1512356155000,9946315
1512356441000,9936401
1512356727000,9919265
1512357013000,9905482
1512357298000,9893698
1512357584000,9881139
1512357870000,9869550
1512358156000,9857348
1512358441000,9844489
1512358727000,9835463
1512359013000,9810201
1512359299000,9800440
1512359585000,9801207
1512359870000,9800068
1512360156000,9805171
1512360442000,9814159
1512360728000,9809902
1512361013000,9827111
1512361299000,9843227
1512361585000,9855928
1512361871000,9874279
1512362157000,9885961
1512362442000,9897407
1512362728000,9905146
1512363014000,9911380
1512363300000,9913190
1512363585000,9912374
1512363871000,9903381
1512364157000,9898592
1512364443000,9894443
1512364729000,9889140
1512365014000,9883111
1512365300000,9872770
1512365586000,9862148
1512365872000,9855083
1512366158000,9847537
1512366443000,9838590
1512366729000,9830347
1512367015000,9821918
1512367301000,9814271
1512367586000,9807022
1512367872000,9804855
1512368158000,9810039
1512368444000,9807713
1512368730000,9805808
1512369015000,9816451
1512369301000,9812065
1512369587000,9822863
1512369873000,9833655
1512370158000,9847031
1512370444000,9861272
1512370730000,9877213
1512371016000,9893071
1512371302000,9911988
1512371587000,9933740
1512371873000,9956730
1512372159000,9981520
1512372445000,10004102
1512372730000,10022994
1512373016000,10045893
1512373302000,10074085
1512373588000,10100501
1512373874000,10128537
1512374159000,10158289
1512374445000,10186468
1512374731000,10217387
1512375017000,10252391
1512375303000,10287183
1512375588000,10322652
1512375874000,10356522
1512376160000,10387686
1512376446000,10417050
1512376731000,10450054
1512377017000,10474492
1512377303000,10505586
1512377589000,10537643
1512377875000,10559964
1512378160000,10582177
1512378446000,10610391
1512378732000,10642423
1512379018000,10677198
1512379303000,10712108
1512379589000,10745202
1512379875000,10775494
1512380161000,10806752
1512380447000,10841676
1512380732000,10880300
1512381018000,10922628
1512381304000,10961227
1512381590000,11004109
1512381875000,11042078
1512382161000,11090264
1512382447000,11142452
1512382733000,11198908
1512383019000,11256650
1512383304000,11316178
1512383590000,11376905
1512383876000,11442817
1512384162000,11512805
1512384448000,11584183
1512384733000,11657016
1512385019000,11731415
1512385305000,11810479
1512385591000,11893187
1512385876000,11979590
1512386162000,12068650
1512386448000,12160635
1512386734000,12252921
1512387020000,12344176
1512387305000,12433889
1512387591000,12529459
1512387877000,12621265
1512388163000,12713879
1512388448000,12800373
1512388734000,12884460
1512389020000,12968604
1512389306000,13036280
1512389592000,13111173
1512389877000,13197544
1512390163000,13285547
1512390449000,13372052
1512390735000,13455102
1512391021000,13537186
1512391306000,13620504
1512391592000,13702769
1512391878000,13780392
1512392164000,13850859
1512392449000,13918300
1512392735000,13983286
1512393021000,13995597
1512393307000,14069576
1512393593000,14143414
1512393878000,14149890
1512394164000,14212444
1512394450000,14207474
1512394736000,14263860
1512395021000,14328702
1512395307000,14380079
1512395593000,14423792
1512395879000,14463665
1512396165000,14482956
1512396450000,14470316
1512396736000,14502499
1512397022000,14521163
1512397308000,14541334
1512397593000,14559370
1512397879000,14567158
1512398165000,14563857
1512398451000,14564659
1512398737000,14555795
1512399022000,14543632
1512399308000,14521235
1512399594000,14492284
1512399880000,14437162
1512400166000,14404239
1512400451000,14383948
1512400737000,14364871
1512401023000,14344712
1512401309000,14318032
1512401594000,14280136
1512401880000,14248438
1512402166000,14226075
1512402452000,14202129
1512402738000,14176297
1512403023000,14149940
1512403309000,14119287
1512403595000,14079232
1512403881000,14057225
1512404166000,14041404
1512404452000,14030046
1512404738000,14018467
1512405024000,14007969
1512405310000,13995240
1512405595000,13990082
1512405881000,13983352
1512406167000,13976413
1512406453000,13971029
1512406738000,13966880
1512407024000,13961035
1512407310000,13967679
1512407596000,13967844
1512407882000,13964329
1512408167000,13968809
1512408453000,13972609
1512408739000,13975501
1512409025000,13978467
1512409311000,13983643
1512409596000,13987462
1512409882000,13991368
1512410168000,13992974
1512410454000,13994910
1512410739000,13992555
1512411025000,13994132
1512411311000,13995234
1512411597000,13995291
1512411883000,13995558
1512412168000,13994880
1512412454000,13991535
1512412740000,13988565
1512413026000,13981913
1512413311000,13972100
1512413597000,13960048
1512413883000,13945910
1512414169000,13925534
1512414455000,13901597
1512414740000,13879421
1512415026000,13856375
1512415312000,13831301
1512415598000,13805222
1512415883000,13780475
1512416169000,13753560
1512416455000,13726482
1512416741000,13696450
1512417027000,13662890
1512417312000,13625100
1512417598000,13585441
1512417884000,13531146
1512418170000,13474254
1512418456000,13423312
1512418741000,13367820
1512419027000,13309457
1512419313000,13252493
1512419599000,13191144
1512419884000,13130294
1512420170000,13068975
1512420456000,13002476
1512420742000,12931096
1512421028000,12856046
1512421313000,12777375
1512421599000,12664031
1512421885000,12574198
1512422171000,12488362
1512422456000,12403444
1512422742000,12317449
1512423028000,12230424
1512423314000,12144496
1512423600000,12058541
1512423885000,11972182
1512424171000,11887389
1512424457000,11799894
1512424743000,11709648
1512425028000,11613575
1512425314000,11511478
1512425600000,11416669
1512425886000,11310779
1512426172000,11227886
1512426457000,11145964
1512426743000,11063209
1512427029000,10972159
1512427315000,10940113
1512427601000,10783552
1512427886000,10734262
1512428172000,10657274
1512428458000,10583712
1512428744000,10484081
1512429029000,10400316
1512429315000,10331681
1512429601000,10270246
1512429887000,10212151
1512430173000,10157113
1512430458000,10105435
1512430744000,10058636
1512431030000,10016046
1512431316000,9974998
1512431601000,9937761
1512431887000,9903353
1512432173000,9871545
1512432459000,9825014
1512432745000,9798691
1512433030000,9775604
1512433316000,9758078
1512433602000,9741280
1512433888000,9727178
1512434174000,9715389
1512434459000,9706713
1512434745000,9700016
1512435031000,9694477
1512435317000,9690170
1512435602000,9692894
1512435888000,9685837
1512436174000,9684435
1512436460000,9686838
1512436746000,9686300
1512437031000,9686592
1512437317000,9688533
1512437603000,9688749
1512437889000,9690229
1512438174000,9695699
1512438460000,9700888
1512438746000,9707836
1512439032000,9713352
1512439318000,9731831
1512439603000,9724018
1512439889000,9732145
1512440175000,9740843
1512440461000,9751181
1512440746000,9758166
1512441032000,9764679
1512441318000,9770466
1512441604000,9775752
1512441890000,9778420
1512442175000,9780778
1512442461000,9782295
1512442747000,9784852
1512443033000,9780063
1512443319000,9764102
1512443604000,9758355
1512443890000,9754160
1512444176000,9752204
1512444462000,9748133
1512444747000,9741794
1512445033000,9736007
1512445319000,9742732
1512445605000,9741348
1512445891000,9737331
1512446176000,9746155
1512446462000,9753736
1512446748000,9749579
1512447034000,9761085
1512447319000,9780875
1512447605000,9804457
1512447891000,9827918
