"Name","Current.Player","Peak.Player","Link"
"PLAYERUNKNOWN'S BATTLEGROUNDS",1750544,2731146,"http://store.steampowered.com/app/578080/PLAYERUNKNOWNS_BATTLEGROUNDS/"
"Dota 2",423999,646820,"http://store.steampowered.com/app/570/Dota_2/"
"Counter-Strike: Global Offensive",162983,521204,"http://store.steampowered.com/app/730/CounterStrike_Global_Offensive/"
"Tom Clancy's Rainbow Six Siege",40786,85329,"http://store.steampowered.com/app/359550/Tom_Clancys_Rainbow_Six_Siege/"
"Team Fortress 2",36606,54578,"http://store.steampowered.com/app/440/Team_Fortress_2/"
"PAYDAY 2",35937,37238,"http://store.steampowered.com/app/218620/PAYDAY_2/"
"Warframe",32694,53637,"http://store.steampowered.com/app/230410/Warframe/"
"Grand Theft Auto V",28085,54973,"http://store.steampowered.com/app/271590/Grand_Theft_Auto_V/"
"PLAYERUNKNOWN'S BATTLEGROUNDS (Test Server)",26437,54745,"http://steamcommunity.com/app/622590"
"ARK: Survival Evolved",19998,39252,"http://store.steampowered.com/app/346110/ARK_Survival_Evolved/"
"Football Manager 2018",17134,49963,"http://store.steampowered.com/app/624090/Football_Manager_2018/"
"Sid Meier's Civilization V",16287,31047,"http://store.steampowered.com/app/8930/Sid_Meiers_Civilization_V/"
"H1Z1",14479,23843,"http://store.steampowered.com/app/433850/H1Z1/"
"Rocket League",13870,54392,"http://store.steampowered.com/app/252950/Rocket_League/"
"Garry's Mod",12752,32993,"http://store.steampowered.com/app/4000/Garrys_Mod/"
"Sid Meier's Civilization VI",11674,21308,"http://store.steampowered.com/app/289070/Sid_Meiers_Civilization_VI/"
"Fallout 4",11498,22527,"http://store.steampowered.com/app/377160/Fallout_4/"
"Rust",11367,27222,"http://store.steampowered.com/app/252490/Rust/"
"Terraria",10538,18012,"http://store.steampowered.com/app/105600/Terraria/"
"Black Desert Online",10519,12708,"http://store.steampowered.com/app/582660/Black_Desert_Online/"
"Clicker Heroes",9874,14792,"http://store.steampowered.com/app/363970/Clicker_Heroes/"
"Football Manager 2017",9284,21156,"http://store.steampowered.com/app/482730/Football_Manager_2017/"
"Arma 3",9223,24939,"http://store.steampowered.com/app/107410/Arma_3/"
"The Elder Scrolls Online: Tamriel Unlimited",8774,18438,"http://store.steampowered.com/app/306130/The_Elder_Scrolls_Online_Tamriel_Unlimited/"
"Paladins",8270,25016,"http://store.steampowered.com/app/444090/Paladins/"
"Euro Truck Simulator 2",8142,36887,"http://store.steampowered.com/app/227300/Euro_Truck_Simulator_2/"
"Dead by Daylight",7987,16477,"http://store.steampowered.com/app/381210/Dead_by_Daylight/"
"The Elder Scrolls V: Skyrim",7881,17480,"http://store.steampowered.com/app/72850/The_Elder_Scrolls_V_Skyrim/"
"The Witcher 3: Wild Hunt",7521,15036,"http://store.steampowered.com/app/292030/The_Witcher_3_Wild_Hunt/"
"Unturned",7250,18920,"http://store.steampowered.com/app/304930/Unturned/"
"Counter-Strike",7124,22277,"http://store.steampowered.com/app/10/CounterStrike/"
"Left 4 Dead 2",6831,15083,"http://store.steampowered.com/app/550/Left_4_Dead_2/"
"Wallpaper Engine",6753,9224,"http://store.steampowered.com/app/431960/Wallpaper_Engine/"
"Stardew Valley",6519,10040,"http://store.steampowered.com/app/413150/Stardew_Valley/"
"7 Days to Die",6353,12514,"http://store.steampowered.com/app/251570/7_Days_to_Die/"
"NBA 2K18",6313,12004,"http://store.steampowered.com/app/577800/NBA_2K18/"
"War Thunder",6293,15087,"http://store.steampowered.com/app/236390/War_Thunder/"
"Yu-Gi-Oh! Duel Links",6255,10500,"http://store.steampowered.com/app/601510/YuGiOh_Duel_Links/"
"RimWorld",6071,9957,"http://store.steampowered.com/app/294100/RimWorld/"
"Tom Clancy's The Division",5984,11096,"http://store.steampowered.com/app/365590/Tom_Clancys_The_Division/"
"Total War: WARHAMMER II",5945,13146,"http://store.steampowered.com/app/594570/Total_War_WARHAMMER_II/"
"The Elder Scrolls V: Skyrim Special Edition",5939,12081,"http://store.steampowered.com/app/489830/The_Elder_Scrolls_V_Skyrim_Special_Edition/"
"Divinity: Original Sin 2",5626,12057,"http://store.steampowered.com/app/435150/Divinity_Original_Sin_2/"
"Cities: Skylines",5556,10650,"http://store.steampowered.com/app/255710/Cities_Skylines/"
"Europa Universalis IV",5496,16594,"http://store.steampowered.com/app/236850/Europa_Universalis_IV/"
"Battlerite",5300,18765,"http://store.steampowered.com/app/504370/Battlerite/"
"Don't Starve Together",5059,10123,"http://store.steampowered.com/app/322330/Dont_Starve_Together/"
"Hearts of Iron IV",4965,13682,"http://store.steampowered.com/app/394360/Hearts_of_Iron_IV/"
"Borderlands 2",4796,8313,"http://store.steampowered.com/app/49520/Borderlands_2/"
"Assassin's Creed Origins",4755,9650,"http://store.steampowered.com/app/582160/Assassins_Creed_Origins/"
"DARK SOULS™ III",4668,8393,"http://store.steampowered.com/app/374320/DARK_SOULS_III/"
"Path of Exile",4574,10586,"http://store.steampowered.com/app/238960/Path_of_Exile/"
"Stellaris",4563,8980,"http://store.steampowered.com/app/281990/Stellaris/"
"World of Tanks Blitz",4504,11813,"http://store.steampowered.com/app/444200/World_of_Tanks_Blitz/"
"Total War: ROME II - Emperor Edition",4492,12091,"http://store.steampowered.com/app/214950/Total_War_ROME_II__Emperor_Edition/"
"Call of Duty: WWII - Multiplayer",4406,17815,"http://store.steampowered.com/app/476600/Call_of_Duty_WWII/"
"Age of Empires II: HD Edition",4187,11111,"http://store.steampowered.com/app/221380/Age_of_Empires_II_HD/"
"The Binding of Isaac: Rebirth",4107,7017,"http://store.steampowered.com/app/250900/The_Binding_of_Isaac_Rebirth/"
"Black Squad",4060,9051,"http://store.steampowered.com/app/550650/Black_Squad/"
"Factorio",3920,8307,"http://store.steampowered.com/app/427520/Factorio/"
"FINAL FANTASY XIV Online",3625,7013,"http://store.steampowered.com/app/39210/FINAL_FANTASY_XIV_Online/"
"Getting Over It with Bennett Foddy",3486,4572,"http://store.steampowered.com/app/240720/Getting_Over_It_with_Bennett_Foddy/"
"SMITE",3373,11460,"http://store.steampowered.com/app/386360/SMITE/"
"Mount & Blade: Warband",3234,8056,"http://store.steampowered.com/app/48700/Mount__Blade_Warband/"
"Grim Dawn",3219,5449,"http://store.steampowered.com/app/219990/Grim_Dawn/"
"Shadowverse",3201,5360,"http://store.steampowered.com/app/453480/Shadowverse_CCG/"
"Farming Simulator 17",3169,10033,"http://store.steampowered.com/app/447020/Farming_Simulator_17/"
"Idle Champions of the Forgotten Realms",3052,3542,"http://store.steampowered.com/app/627690/Idle_Champions_of_the_Forgotten_Realms/"
"Middle-earth™: Shadow of War™",2972,6654,"http://store.steampowered.com/app/356190/Middleearth_Shadow_of_War/"
"XCOM 2",2965,6505,"http://store.steampowered.com/app/268500/XCOM_2/"
"Crusader Kings II",2840,6659,"http://store.steampowered.com/app/203770/Crusader_Kings_II/"
"Football Manager 2016",2676,6710,"http://steamcommunity.com/app/378120"
"EVGA Precision XOC",2588,3387,"http://store.steampowered.com/app/268850/EVGA_Precision_XOC/"
"Realm Grinder",2569,3751,"http://store.steampowered.com/app/610080/Realm_Grinder/"
"Counter-Strike: Source",2568,7789,"http://store.steampowered.com/app/240/CounterStrike_Source/"
"EVE Online",2510,4418,"http://store.steampowered.com/app/8500/EVE_Online/"
"Nioh: Complete Edition",2439,4925,"http://store.steampowered.com/app/485510/Nioh_Complete_Edition___Complete_Edition/"
"Doki Doki Literature Club",2338,4343,"http://store.steampowered.com/app/698780/Doki_Doki_Literature_Club/"
"Tom Clancy's Ghost Recon® Wildlands",2325,4378,"http://store.steampowered.com/app/460930/Tom_Clancys_Ghost_Recon_Wildlands/"
"Oxygen Not Included",2280,3366,"http://store.steampowered.com/app/457140/Oxygen_Not_Included/"
"Heroes & Generals",2102,5932,"http://store.steampowered.com/app/227940/Heroes__Generals/"
"Killing Floor 2",2087,3666,"http://store.steampowered.com/app/232090/Killing_Floor_2/"
"Infestation: The New Z",2071,3153,"http://store.steampowered.com/app/555570/Infestation_The_New_Z/"
"Fallout: New Vegas",2069,4121,"http://store.steampowered.com/app/22380/Fallout_New_Vegas/"
"The Forest",2060,5725,"http://store.steampowered.com/app/242760/The_Forest/"
"Warface",2054,5119,"http://store.steampowered.com/app/291480/Warface/"
